method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,0,00,upper,7923,7923,1.0,0.10687218911945819,0.18655883803963658,0.11403785705566394,0.24337316552926008,0.10039892196655276,0.0016368344658985734,0.0031034848652780056,0.0001531886518932879,4.87183952331543,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,0,00,head_face,1027,1027,1.0,0.06019045283086597,0.05835468471050262,0.028203353881835924,0.08845105431723772,0.021200507879257202,0.001728621544316411,0.00451657036319375,0.000524350383784622,2.3503379821777344,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,0,00,left_hand,513,513,1.0,0.023385646194219588,0.10392252519726754,0.07738563060760495,0.13166364538411734,0.07197628021240232,0.0019881350453943014,0.0033616458531469107,0.00016497012984473258,3.4124529361724854,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,0,00,right_hand,817,817,1.0,0.04092764884233475,0.07280426606535911,0.04175517320632938,0.09337573606975011,0.03766721487045288,0.0018003219738602638,0.0036134240217506886,0.0001200081969727762,4.27329683303833,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,1,01,full,14315,14315,1.0,0.10685543626546859,0.32029461145400995,0.208647003173828,0.3969134594837749,0.1935591876506806,0.0015394106740131974,0.0033344030380249023,0.0002386259293416515,4.270376682281494,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,1,01,upper,10223,10223,1.0,0.11070788182318209,0.1964323587715626,0.12308863162994388,0.256890478427807,0.11079127192497251,0.0014669107040390372,0.0032586688175797462,0.0002384352992521599,4.280306816101074,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,1,01,head_face,982,982,1.0,0.0652063300134614,0.19659407466650006,0.6112607645988464,0.6453997350524465,0.026150417327880815,0.001870928448624909,0.0056834714487195015,0.0008542053401470184,2.187937021255493,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,1,01,left_hand,655,655,1.0,0.024120386280119418,0.1161695148050785,0.0886825799942017,0.14812747617770822,0.08294250369071954,0.0018375873332843184,0.0040575056336820126,0.0003404685703571886,2.361949920654297,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,1,01,right_hand,904,904,1.0,0.04075606606900692,0.07410441775806247,0.048180472850799516,0.09733385647763747,0.04467466771602624,0.0017074339557439089,0.0038048140704631805,0.0001944779505720362,2.872390031814575,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
v50r2_candidate,V50R2 candidate package,vggt_candidate_package,2,06,full,9293,9293,1.0,0.09317651636898518,0.3326431822776794,0.2326128506660461,0.4164637897986636,0.19595531225204466,0.001911209779791534,0.0046082353219389915,0.0002649896778166294,3.569263219833374,True,strict candidate package; main point map is V42 frame0000 first six views plus packaged head/hand/normal evidence
